department,create_time,statistic_cycle,biz_name,stability,timeliness,completeness,accuracy,consistency,uniqueness,normativity,object_type,level,interface_business_level_id
网格和渠道运营中心,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935163
网格和渠道运营中心,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935164
网格和渠道运营中心,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935165
网格和渠道运营中心,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935166
网格和渠道运营中心,20250727,1,,100%,53%,100%,100%,100%,100%,100%,2,P5,1753962935167
网格和渠道运营中心,20250727,2,,100%,100%,100%,100%,100%,100%,100%,2,P0,1753962935168
网格和渠道运营中心,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935169
网格和渠道运营中心,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935170
网格和渠道运营中心,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935171
网格和渠道运营中心,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935172
网格和渠道运营中心,20250727,2,,100%,85%,100%,100%,100%,100%,100%,2,P5,1753962935173
网格和渠道运营中心,20250727,3,,100%,100%,100%,100%,100%,100%,100%,2,P0,1753962935174
网格和渠道运营中心,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935175
网格和渠道运营中心,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935176
网格和渠道运营中心,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935177
网格和渠道运营中心,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935178
网格和渠道运营中心,20250727,3,,100%,97%,100%,100%,100%,100%,100%,2,P5,1753962935179
网络管理中心,20250727,1,,100%,70%,100%,100%,100%,100%,100%,2,P0,1753962935180
网络管理中心,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935181
网络管理中心,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935182
网络管理中心,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935183
网络管理中心,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935184
网络管理中心,20250727,1,,100%,0%,100%,100%,100%,100%,100%,2,P5,1753962935185
网络管理中心,20250727,2,,100%,91%,100%,100%,100%,100%,100%,2,P0,1753962935186
网络管理中心,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935187
网络管理中心,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935188
网络管理中心,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935189
网络管理中心,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935190
网络管理中心,20250727,2,,100%,75%,100%,100%,100%,100%,100%,2,P5,1753962935191
网络管理中心,20250727,3,,100%,100%,100%,100%,100%,100%,100%,2,P0,1753962935192
网络管理中心,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935193
网络管理中心,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935194
网络管理中心,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935195
网络管理中心,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935196
网络管理中心,20250727,3,,100%,100%,100%,100%,100%,100%,100%,2,P5,1753962935197
网络部,20250727,1,,-,-,-,-,-,-,-,2,P0,1753962935198
网络部,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935199
网络部,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935200
网络部,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935201
网络部,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935202
网络部,20250727,1,,100%,72%,100%,100%,100%,100%,100%,2,P5,1753962935203
网络部,20250727,2,,-,-,-,-,-,-,-,2,P0,1753962935204
网络部,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935205
网络部,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935206
网络部,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935207
网络部,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935208
网络部,20250727,2,,100%,79%,100%,100%,100%,100%,100%,2,P5,1753962935209
网络部,20250727,3,,-,-,-,-,-,-,-,2,P0,1753962935210
网络部,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935211
网络部,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935212
网络部,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935213
网络部,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935214
网络部,20250727,3,,100%,81%,100%,100%,100%,100%,100%,2,P5,1753962935215
计划建设部,20250727,1,,-,-,-,-,-,-,-,2,P0,1753962935216
计划建设部,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935217
计划建设部,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935218
计划建设部,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935219
计划建设部,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935220
计划建设部,20250727,1,,100%,100%,100%,100%,100%,100%,100%,2,P5,1753962935221
计划建设部,20250727,2,,-,-,-,-,-,-,-,2,P0,1753962935222
计划建设部,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935223
计划建设部,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935224
计划建设部,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935225
计划建设部,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935226
计划建设部,20250727,2,,100%,100%,100%,100%,100%,100%,100%,2,P5,1753962935227
计划建设部,20250727,3,,-,-,-,-,-,-,-,2,P0,1753962935228
计划建设部,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935229
计划建设部,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935230
计划建设部,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935231
计划建设部,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935232
计划建设部,20250727,3,,100%,100%,100%,100%,100%,100%,100%,2,P5,1753962935233
财务部,20250727,1,,100%,81%,100%,100%,100%,100%,100%,2,P0,1753962935234
财务部,20250727,1,,100%,100%,100%,100%,100%,100%,100%,2,P1,1753962935235
财务部,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935236
财务部,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935237
财务部,20250727,1,,-,-,-,-,-,-,-,2,P4,1753962935238
财务部,20250727,1,,100%,80%,100%,100%,100%,100%,100%,2,P5,1753962935239
财务部,20250727,2,,100%,91%,100%,100%,100%,100%,100%,2,P0,1753962935240
财务部,20250727,2,,100%,100%,100%,100%,100%,100%,100%,2,P1,1753962935241
财务部,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935242
财务部,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935243
财务部,20250727,2,,-,-,-,-,-,-,-,2,P4,1753962935244
财务部,20250727,2,,100%,90%,100%,100%,100%,100%,100%,2,P5,1753962935245
财务部,20250727,3,,100%,91%,100%,100%,100%,100%,100%,2,P0,1753962935246
财务部,20250727,3,,100%,100%,100%,100%,100%,100%,100%,2,P1,1753962935247
财务部,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935248
财务部,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935249
财务部,20250727,3,,-,-,-,-,-,-,-,2,P4,1753962935250
财务部,20250727,3,,100%,93%,100%,100%,100%,100%,100%,2,P5,1753962935251
集团客户部,20250727,1,,100%,64%,100%,100%,100%,100%,100%,2,P0,1753962935252
集团客户部,20250727,1,,-,-,-,-,-,-,-,2,P1,1753962935253
集团客户部,20250727,1,,-,-,-,-,-,-,-,2,P2,1753962935254
集团客户部,20250727,1,,-,-,-,-,-,-,-,2,P3,1753962935255
集团客户部,20250727,1,,100%,100%,100%,100%,100%,100%,100%,2,P4,1753962935256
集团客户部,20250727,1,,-,-,-,-,-,-,-,2,P5,1753962935257
集团客户部,20250727,2,,100%,88%,100%,100%,100%,100%,100%,2,P0,1753962935258
集团客户部,20250727,2,,-,-,-,-,-,-,-,2,P1,1753962935259
集团客户部,20250727,2,,-,-,-,-,-,-,-,2,P2,1753962935260
集团客户部,20250727,2,,-,-,-,-,-,-,-,2,P3,1753962935261
集团客户部,20250727,2,,100%,100%,100%,100%,100%,100%,100%,2,P4,1753962935262
集团客户部,20250727,2,,-,-,-,-,-,-,-,2,P5,1753962935263
集团客户部,20250727,3,,100%,90%,100%,100%,100%,100%,100%,2,P0,1753962935264
集团客户部,20250727,3,,-,-,-,-,-,-,-,2,P1,1753962935265
集团客户部,20250727,3,,-,-,-,-,-,-,-,2,P2,1753962935266
集团客户部,20250727,3,,-,-,-,-,-,-,-,2,P3,1753962935267
集团客户部,20250727,3,,100%,100%,100%,100%,100%,100%,100%,2,P4,1753962935268
集团客户部,20250727,3,,-,-,-,-,-,-,-,2,P5,1753962935269
